EmployeeID,Name,Department,City,Age,YearsExperience,Salary,PerformanceScore
1106,Employee_106,Sales,Lahore,22.0,2.0,47355.0,63.2
1107,Employee_107,Engineering,Lahore,28.0,4.0,48218.0,62.6
1108,Employee_108,HR,Karachi,36.0,14.0,85623.0,75.4
1109,Employee_109,Sales,Multan,37.0,13.0,84127.0,72.9
1110,Employee_110,Engineering,Lahore,26.0,2.0,48831.0,58.6
1111,Employee_111,Marketing,Lahore,20.0,0.0,40279.0,57.7
1112,Employee_112,Finance,Islamabad,29.0,4.0,57934.0,62.3
1113,Employee_113,Engineering,Faisalabad,37.0,13.0,87395.0,70.6
1114,Employee_114,Marketing,Karachi,27.0,6.0,61217.0,63.9
1115,Employee_115,Engineering,Karachi,31.0,8.0,77103.0,54.6
1116,Employee_116,Finance,Multan,37.0,14.0,90625.0,80.9
1117,Employee_117,Finance,Multan,36.0,14.0,87272.0,79.1
1118,Employee_118,Sales,Karachi,33.0,9.0,78940.0,70.3
1119,Employee_119,HR,Multan,37.0,12.0,86802.0,75.8
1120,Employee_120,Engineering,Islamabad,40.0,18.0,110264.0,83.2
1121,Employee_121,Engineering,Karachi,31.0,6.0,60556.0,62.9
1122,Employee_122,Marketing,Multan,40.0,16.0,99905.0,76.0
1123,Employee_123,Finance,Karachi,41.0,19.0,100689.0,86.0
1124,Employee_124,Engineering,Faisalabad,25.0,3.0,53636.0,64.8
1125,Employee_125,Finance,Lahore,24.0,4.0,53369.0,77.1
1126,Employee_126,Engineering,Karachi,25.0,6.0,55580.0,76.9
1127,Employee_127,Sales,Lahore,34.0,12.0,86130.0,80.0
1128,Employee_128,HR,Multan,34.0,14.0,81759.0,72.2
1129,Employee_129,Engineering,Lahore,32.0,10.0,67349.0,68.6
1130,Employee_130,Finance,Karachi,24.0,3.0,51950.0,57.6
1131,Employee_131,Sales,Faisalabad,30.0,12.0,84285.0,76.1
1132,Employee_132,Engineering,Multan,,6.0,,50.8
1133,Employee_133,Marketing,Karachi,39.0,18.0,105968.0,78.8
1134,Employee_134,HR,Multan,23.0,1.0,49407.0,59.4
1135,Employee_135,Engineering,Islamabad,29.0,9.0,74301.0,61.7
1136,Employee_136,Sales,Lahore,33.0,12.0,81471.0,79.2
1137,Employee_137,Marketing,Islamabad,30.0,5.0,57206.0,59.2
1138,Employee_138,Sales,Karachi,33.0,11.0,77371.0,74.8
1139,Employee_139,Sales,Faisalabad,34.0,11.0,79682.0,89.9
1140,Employee_140,Marketing,Multan,38.0,19.0,102111.0,73.1
1141,Employee_141,Sales,Lahore,37.0,10.0,76364.0,71.1
1142,Employee_142,Marketing,Multan,,6.0,60654.0,64.8
1143,Employee_143,Engineering,Karachi,25.0,0.0,41103.0,56.4
1144,Employee_144,Marketing,Multan,24.0,0.0,41115.0,64.6
1145,Employee_145,Marketing,Lahore,41.0,19.0,96691.0,89.4
1146,Employee_146,HR,Karachi,35.0,12.0,78395.0,79.0
1147,Employee_147,Marketing,Multan,32.0,8.0,67565.0,65.3
1148,Employee_148,Marketing,Faisalabad,23.0,2.0,46778.0,77.0
1149,Employee_149,Engineering,Karachi,27.0,6.0,62038.0,56.6
1150,Employee_150,HR,Karachi,24.0,5.0,58709.0,59.8
1007,Employee_7,Marketing,Faisalabad,40.0,18.0,106782.0,88.0
1004,Employee_4,HR,Multan,31.0,10.0,73729.0,62.4
1114,Employee_114,Marketing,Karachi,27.0,6.0,61217.0,63.9
1013,Employee_13,Engineering,Lahore,21.0,1.0,40577.0,61.9
1025,Employee_25,Marketing,Lahore,42.0,18.0,102486.0,71.2
